substance,paper,journal,year,authors,reprint,contact_name,contact_email,abstract,last_sent_date,thread_id,follow_up_date,keep,comments
NIC,NA,NA,2016,"Smith, Aria; Ehtemami, Anahid; Fratte, Daniel; Meyer-Baese, Anke; Zavala-Romero, Olmo; Goudriaan, Anna E.; Schmaal, Lianne; Schulte, Mieke H. J.","Ehtemami, A (corresponding author), Florida State Univ, Dept Comp Sci, Tallahassee, FL 32306 USA.",Ehtemami,someemail@address.com,"Brain imaging studies identified brain networks that play a key role in nicotine dependence-related behavior. Functional connectivity of the brain is dynamic; it changes over time due to different causes such as learning, or quitting a habit. Functional connectivity analysis is useful in discovering and comparing patterns between functional magnetic resonance imaging (fMRI) scans of patients' brains. In the resting state, the patient is asked to remain calm and not do any task to minimize the contribution of external stimuli. The study of resting-state fMRI networks have shown functionally connected brain regions that have a high level of activity during this state. In this project, we are interested in the relationship between these functionally connected brain regions to identify nicotine dependent patients, who underwent a smoking cessation treatment. Our approach is on the comparison of the set of connections between the fMRI scans before and after treatment. We applied support vector machines, a machine learning technique, to classify patients based on receiving the treatment or the placebo. Using the functional connectivity (CONN) toolbox, we were able to form a correlation matrix based on the functional connectivity between different regions of the brain. The experimental results show that there is inadequate predictive information to classify nicotine dependent patients using the SVM classifier. We propose other classification methods be explored to better classify the nicotine dependent patients.",2021/12/8,17cc7ac88c9ecce8,2021/12/28,1,
ALC,Maladaptive brain organization at 1 month into abstinence as an indicator for future relapse in patients with alcohol use disorder,Eur. J. Neurosci.,2021,"Muller, Angela M.; Meyerhoff, Dieter J.","Muller, AM (corresponding author), San Francisco VA Med Ctr, VA Adv Imaging Res Ctr, Dept Radiol & Biomed Imaging, 4150 Clement St,Bldg 13, San Francisco, CA 94121 USA.",Muller,someemail@address.com,"Abstinence is a lifelong endeavor, and the risk of a relapse is always present for patients with Alcohol Use Disorder (AUD). The aim of the study was to better understand specific characteristics of the intrinsic whole-brain-network architecture of 34 AUD patients that may support abstinence or relapse. We used Graph Theory Analysis (GTA) of resting-state fMRI data from treatment seekers at 1 month of abstinence and their follow-up data as abstainers or relapsers 3 months later, together with data from 30 light/non-drinking controls scanned at the same interval. We determined the group-specific intrinsic community configurations at both timepoints as well as the corresponding modularity Q, a GTA measure that quantifies how well individual network communities are separated from each other. Both AUD groups at both timepoints had community configurations significantly different from those of controls, but the three groups did not significantly differ in their Q values. However, relapsers showed a maladaptive community configuration at baseline, which became more similar to the controls' community organization after the relapsers had started consuming alcohol again during the study interval. Additionally, successful recovery from AUD was not associated with re-gaining the intrinsic brain organization found in light/non-drinkers, but with a re-configuration resulting in a new brain organization distinctly different from that of healthy controls. Resting-state fMRI provides useful measures reflecting neuroplastic adaptations related to AUD treatment outcome.",2021/10/28,17cc7ac8b2dea84e,2021/11/17,0,DAT need to be done with VA
OPI,Sustained opioid antagonism modulates striatal sensitivity to baby schema in opioid use disorder,J. Subst. Abus. Treat.,2018,"Wang, An-Li; Lowen, Steven B.; Elman, Igor; Shi, Zhenhao; Fairchild, Victoria P.; Bouril, Alexander; Gur, Ruben C.; Langleben, Daniel D.","Wang, AL (corresponding author), Icahn Sch Med Mt Sinai, Dept Psychiat, 1425 Madison Ave Room 4-33, New York, NY 10029 USA.",Wang,someemail@address.com,"Background: Chronic opioid misuse is associated with reduced sensitivity to natural rewards and social motivation deficits that include impaired caregiving. The neurobiological mechanisms underlying these deficits and their response to treatment are not well understood. Baby schema (Kindchenschema) is a set of juvenile physical features, which is perceived as cute and triggers motivation for caregiving. Recent studies suggest that the baby schema effect is mediated by the brain reward network. We studied the impact of opioid antagonist treatment on the baby schema response in patients with opioid use disorder. Methods: Forty-seven (24 F) recently detoxified patients with opioid use disorder underwent functional magnetic resonance imaging (fMRI) while viewing infant portraits that were parametrically manipulated for baby schema content and rating them for cuteness, at baseline and during treatment with the injectable extended release opioid antagonist naltrexone (XRNTX). The study was not placebo-controlled. Results: The behavioral effect of baby schema, indexed by cuteness ratings, was present and unaffected by XRNTX. The brain response to baby schema was absent at baseline, but present in the bilateral ventral striatum after two weeks of XRNTX treatment. The decline in self-reported craving for opioids was positively correlated with the brain fMRI response to baby schema in the bilateral ventral striatum. Conclusions: Opioid antagonist treatment modulated the brain reward system response to a marker of caregiving motivation in patients with opioid use disorder. Neural response to baby schema may offer a novel probe of social motivation and affiliative behaviors in this population. (C) 2017 The Authors. Published by Elsevier Inc. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",2021/12/8,17cc7ac8c5514f6f,2021/12/28,1,
NIC,Baclofen-induced Changes in the Resting Brain Modulate Smoking Cue Reactivity: A Double-blind Placebo-controlled Functional Magnetic Resonance Imaging Study in Cigarette Smokers,Clin. Psychopharmacol. Neurosci.,2020,"Ketcherside, Ariel; Jagannathan, Kanchana; Dolui, Sudipto; Hager, Nathan; Spilka, Nathaniel; Nutor, Chaela; Rao, Hengyi; Franklin, Teresa; Wetherill, Reagan","Ketcherside, A (corresponding author), Univ Penn, Ctr Studies Addict, Perelman Sch Med, 3535 Market St Ste 500, Philadelphia, PA 19104 USA.",Ketcherside,someemail@address.com,"Objective: Smoking cue-(SC) elicited craving can lead to relapse in SC-vulnerable individuals. Thus, identifying treatments that target SC-elicited craving is a top research priority. Reduced drug cue neural activity is associated with recovery and is marked by a profile of greater tonic (resting) activation in executive control regions, and increased connectivity between executive and salience regions. Evidence suggests the GABA-B agonist baclofen can reduce drug cue-elicited neural activity, potentially through its actions on the resting brain. Based on the literature, we hypothesize that baclofen's effects in the resting brain can predict its effects during SC exposure. Methods: In this longitudinal, double blind, placebo-controlled neuropharmacological study 43 non-abstinent, sated treatment-seeking cigarette smokers (63% male) participated in an fMRI resting-state scan and a SC-reactivity task prior to (T1) and 3 weeks following randomization (T2; baclofen: 80 mg/day; n = 21). Subjective craving reports were acquired before and after SC exposure to explicitly examine SC-induced craving. Results: Whole-brain full-factorial analysis revealed a group-by-time interaction with greater resting brain activation of the right dorsolateral prefrontal cortex (dIPFC) at T2 in the baclofen group (BAC) (p(FwEcorr) = 0.02), which was associated with reduced neural responses to SCs in key cue-reactive brain regions; the anterior ventral insula and ventromedial prefrontal cortex (p(FwEcorr) < 0.01). BAC, but not the placebo group reported decreased SC-elicited craving (p = 0.02). Conclusion: Results suggest that baclofen mitigates the reward response to SCs through an increase in tonic activation of the dIPFC, an executive control region. Through these mechanisms, baclofen may offer SC-vulnerable smokers protection from SC-induced relapse.",2021/12/8,17cc7ac8cd99744e,2021/12/28,1,
ALC,Reward-related neural activity and structure predict future substance use in dysregulated youth,Psychol. Med.,2017,"Bertocci, M. A.; Bebko, G.; Versace, A.; Iyengar, S.; Bonar, L.; Forbes, E. E.; Almeida, J. R. C.; Perlman, S. B.; Schirda, C.; Travis, M. J.; Gill, M. K.; Diwadkar, V. A.; Sunshine, J. L.; Holland, S. K.; Kowatch, R. A.; Birmaher, B.; Axelson, D. A.; Frazier, T. W.; Arnold, L. E.; Fristad, M. A.; Youngstrom, E. A.; Horwitz, S. M.; Findling, R. L.; Phillips, M. L.","Bertocci, MA (corresponding author), Western Psychiat Inst & Clin, Loeffler Bldg,Room 203,121 Meyran Ave, Pittsburgh, PA 15213 USA.",Bertocci,someemail@address.com,"Background. Identifying youth who may engage in future substance use could facilitate early identification of substance use disorder vulnerability. We aimed to identify biomarkers that predicted future substance use in psychiatrically un-well youth. Method. LASSO regression for variable selection was used to predict substance use 24.3 months after neuroimaging assessment in 73 behaviorally and emotionally dysregulated youth aged 13.9 (s.d. = 2.0) years, 30 female, from three clinical sites in the Longitudinal Assessment of Manic Symptoms (LAMS) study. Predictor variables included neural activity during a reward task, cortical thickness, and clinical and demographic variables. Results. Future substance use was associated with higher left middle prefrontal cortex activity, lower left ventral anterior insula activity, thicker caudal anterior cingulate cortex, higher depression and lower mania scores, not using antipsychotic medication, more parental stress, older age. This combination of variables explained 60.4% of the variance in future substance use, and accurately classified 83.6%. Conclusions. These variables explained a large proportion of the variance, were useful classifiers of future substance use, and showed the value of combining multiple domains to provide a comprehensive understanding of substance use development. This may be a step toward identifying neural measures that can identify future substance use disorder risk, and act as targets for therapeutic interventions.",2021/12/8,17cc7ac8e6aa7f60,2021/12/28,1,
OPI,Neural responses to negative events and subsequent persistence behavior differ in individuals recovering from opioid use disorder compared to controls,Am. J. Drug Alcohol Abuse,2021,"Bhanji, Jamil P.; Delgado, Mauricio R.; Ray, Suchismita","Ray, S (corresponding author), Rutgers Sch Hlth Profess, 65 Bergen St,Suite 120, Newark, NJ 07107 USA.; Bhanji, JP (corresponding author), Dept Psychol, 101 Warren St,Smith Hall 301, Newark, NJ 07102 USA.",Ray,someemail@address.com,"Background: Negative emotion is associated with substance craving and use in individuals recovering from substance use disorders, including prescription opioid use disorder (POUD). Decisions to abandon or persist towards a goal after negative emotion-eliciting events, and neural responses that shape such decisions, may be important in maintaining recovery from POUD. Objectives: We examined differences in neural responses to negative events and subsequent persistence decisions in individuals recovering from POUD without a history of a substance use disorder. Methods: 20 individuals with POUD (POUD group: 4 females, abstinent 2-3 weeks after admission to an inpatient treatment facility post-detoxification, no other substance use disorder), and 20 individuals with no substance use history (control group: 6 females) completed a persistence-after-setbacks task during functional magnetic resonance imaging. Participants advanced along a path toward a reward; after encountering each negative event (i.e., progress-erasing setback), participants made decisions to persist or abandon the path. Persistence decision rates were compared between groups and blood-oxygen-level-dependent signal to negative events was analyzed within a striatum region of interest (ROI) as well as whole-brain. Results: The POUD group persisted less (t(38) = 2.293, p = .028, d = .725) and showed lower striatum (left ventral putamen) signal to negative events compared to the control group (p < .05, corrected for striatum ROI). Conclusions: In POUD, neural and behavioral responses to negative events differ from controls. These differences are a target for research to address whether POUD treatment increases persistence and striatum responses to negative events and improves recovery outcomes.",2021/12/8,17cc7ac8e29bc3eb,2021/12/28,1,
OPI,Altered gray matter volume and disrupted functional connectivity of dorsolateral prefrontal cortex in men with heroin dependence,Psychiatry Clin. Neurosci.,2018,"Lin, Huang-Chi; Wang, Peng-Wei; Wu, Hung-Chi; Ko, Chih-Hung; Yang, Yi-Hsin; Yen, Cheng-Fang","Yen, CF (corresponding author), Kaohsiung Med Univ, Kaohsiung Med Univ Hosp, Dept Psychiat, 100 Tzyou 1st Rd, Kaohsiung 807, Taiwan.",Yen,someemail@address.com,"AimChronic heroin use can cause various neuropathological characteristics that may compromise brain function. The present study evaluated the alteration of gray matter volume (GMV) and its resting-state functional connectivity (rsFC) over the dorsolateral prefrontal cortex (DLPFC) among male heroin users. MethodsThirty heroin-dependent men undergoing methadone maintenance therapy and 30 educational-level- and age-matched male controls were recruited for this study. To assess their GMV and rsFC, the participants were evaluated using spoiled gradient echo and gradient-recalled echo planar imaging sequences with a 3-Tesla General Electric MR scanner under resting state. ResultsThe heroin-dependent men showed lower GMV over the right DLPFC in comparison with the controls. Further evaluation of the rsFC of the right DLPFC revealed a marked decrease in interhemispheric DLPFC connectivity among those with heroin dependence under control of head movement and GMV of the right DLPFC. ConclusionAlthough the mechanism remains unclear, the present study shows that chronic heroin use is associated with alteration of morphology as well as rsFC over the right DLPFC. As the DLPFC plays an imperative role in various domains of cognitive function, service providers for heroin users should consider the impacts of possible DLPFC-related cognitive deficits on treatment effectiveness.",2021/12/8,17cc7ac90f1c5f0d,2021/12/28,1,
NIC,Effects of Nicotine on Task Switching and Distraction in Non-smokers. An fMRI Study,Neuroscience,2020,"Ahrens, Stefan; Thiel, Christiane M.","Thiel, CM (corresponding author), Carl von Ossietzky Univ Oldenburg, Dept Psychol, Biol Psychol, Ammerlander Heer Str 114-118, D-26111 Oldenburg, Germany.",Thiel,someemail@address.com,"Nicotine improves sustained attention and reduces distractor interference, promoting cognitive stability. While stable performance may be beneficial in some situations, others require flexible updating of task demands. Frontoparietal networks, basal ganglia and thalamus contribute to an optimal balance of stable and flexible performance. We aimed to test how the cholinergic agonist nicotine modulates this balance and used an ongoing visual task including switch and distractor trials to gauge cognitive flexibility and stability respectively. Young healthy non-smokers (n = 39) received either a 7 mg transdermal nicotine or placebo patch in a double-blind, within-subject design one hour prior to performing the task in a 3 T MR scanner. Nicotine enhanced response times in all task conditions but did not significantly impact distractor or switch costs. Neurally, there was no significant nicotine induced modulation of distractoror switch-related activity on group level. However, a brain-behaviour correlation analysis revealed that the nicotine-induced alterations of distractor costs correlated positively with distractor-related neural activity in the right intraparietal sulcus and the right pulvinar nucleus of the thalamus. We suggest that a nicotinic contribution to balancing stability and flexibility is weak in young healthy non-smokers. The brain-behaviour correlations imply that if nicotine reduces distractor interference, the modulation is found in thalamic-parietal networks. (C) 2020 IBRO. Published by Elsevier Ltd. All rights reserved.",2021/10/28,17cc7ac9396b4fe7,2021/11/17,0,no additional drug measures
NIC,Altered thalamo-cortical resting state functional connectivity in smokers,Neurosci. Lett.,2017,"Wang, Chaoyan; Bai, Jie; Wang, Caihong; von Deneen, Karen M.; Yuan, Kai; Cheng, Jingliang","Cheng, JL (corresponding author), Zhengzhou Univ, Dept Magnet Resonance Imaging, Affiliated Hosp 1, Zhengzhou, Henan Province, Peoples R China.",Cheng,someemail@address.com,"The thalamus has widespread connections with the prefrontal cortex (PFC) and modulates communication between the striatum and PFC, which is crucial to the neural mechanisms of smoking. However, relatively few studies focused on the thalamic resting state functional connectivity (RSFC) patterns and their association with smoking behaviors in smokers. 24 young male smokers and 24 non-smokers were enrolled in our study. Fagerstrom Test for Nicotine Dependence (FIND) was used to assess the nicotine dependence level. The bilateral thalamic RSFC patterns were compared between smokers and non-smokers. The relationship between neuroimaging findings and smoking behaviors (FIND and pack years) were also investigated in smokers. Relative to nonsmokers, smokers showed reduced RSFC strength between the left thalamus and several brain regions, i.e. the right dorsolateral prefrontal cortex (dIPFC), the anterior cingulate cortex (ACC) and the bilateral caudate. In addition, the right thalamus showed reduced RSFC with the right dIPFC as well as the bilateral insula in smokers. Therefore, the findings in the current study revealed the reduced RSFC of the thalamus with the dIPFC, the ACC, the insula and the caudate in smokers, which provided new insights into the roles of the thalamus in nicotine addiction from a function integration perspective. (C) 2017 Elsevier B.V. All rights reserved.",2021/12/8,17cc7ac9222ad7d1,2021/12/28,1,
ALC/OPI,Volumetric differences in the anterior cingulate cortex prospectively predict alcohol-related problems in adolescence,Psychopharmacology,2014,"Cheetham, Ali; Allen, Nicholas B.; Whittle, Sarah; Simmons, Julian; Yuecel, Murat; Lubman, Dan I.","Lubman, DI (corresponding author), Eastern Hlth, Turning Point Alcohol & Drug Ctr, Melbourne, Vic, Australia.",Lubman,someemail@address.com,"Individual differences in brain structure and function are suggested to exist prior to the onset of alcohol abuse. Cross-sectional studies have demonstrated abnormalities in brain regions underlying affective processes that may form a pathway to the emergence of later alcohol abuse and dependence in vulnerable individuals. However, no prospective studies have examined whether these abnormalities predict later problems with alcohol. This study aims to examine whether individual differences in affect and brain volume prospectively predict alcohol-related problems in adolescence. Adolescent drinkers (n = 98) were recruited from an ongoing prospective, longitudinal study examining adolescent emotional development. At age 12, participants underwent structural magnetic resonance imaging to obtain volumetric data on the amygdala, hippocampus, orbitofrontal cortex, and anterior cingulate cortex (ACC), and completed a self-report measure of affective temperament. At age 16, participants completed a questionnaire measuring alcohol use, with 39 % reporting alcohol-related problems in the past year. Pre-existing differences in the left ACC predicted problem drinking. Alcohol-related problems were associated with higher levels of temperamental negative affectivity; however, these were not correlated with anterior cingulate volumes. These findings indicate that individual differences in the structural morphology of the anterior cingulate, a region implicated in affective processes, self-control, and drug addiction, predict later alcohol-related problems. Although this finding remained significant after controlling for other substance use and psychopathology, future research is required to test its specificity for alcohol use disorders.",2021/12/8,17cc7ac957253946,2021/12/28,1,
